psraid,sample,form,int_date,lang,state,cregion,density,usr,pial1a,pial1b,pial2a,pial2b,pial2c,pial2d,pial2e,pial3a,pial3b,pial3c,pial3d,pial4a,pial4b,pial4c,pial5,relig,chr,born,attend,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,ideo,raceos,pial5os,religos,zipcode,weight,standwt
100271,1,2,21414,1,27,2,3,S, ,1,2,1,2,3,3,2,2,1,1,2,2,2,98,2, ,1,5,1, , ,3,3,2,2,59,3,2,1,2,1,1,3,9,2, , , ,55379,5.1,1.56272192971715
100272,1,2,21414,1,27,2,5,U, ,1,3,2,4,4,2,2,2,2,2,2,2,2,2,99,1,2,3,1, , ,2,3,2,2,82,7,2,1,99,9,1,3,2,4, , , ,55410,1.7,.520907309905718
100278,1,1,21414,1,55,2,1,R,1, ,2,2,3,4,2,2,2,1,2,2,1,2,98,2, ,2,4,1, , ,1,3,2,2,67,3,2,1,2,1,1,3,9,3, , , ,53573,1.3,.398340884045549
100282,1,1,21414,1,12,3,3,U,1, ,4,2,4,4,2,2,2,2,2,2,1,1,2,2, ,2,2,1, , ,2,3,1,2,53,6,2,1,9,4,1,1, ,2, , , ,32174,3.33333333333333,1.02138688216807
100286,1,2,21414,1,38,2,1,U, ,2,3,2,3,3,2,2,2,2,2,2,1,2,7,2, ,2,4,1, , ,1,1,2,2,51,6,2,1,7,4,1,1, ,3, , , ,58203,1.5,.459624096975634
100293,1,2,21414,1,26,2,3,U, ,2,1,4,4,4,2,2,2,2,2,2,2,2,98,11,1,1,5,1, , ,2,1,2,2,57,3,2,2,5,2,3,3,9,5, , ,APOSTILC,49508,3.66666666666667,1.12352557038488
100297,1,2,21414,1,17,2,1,S, ,2,2,1,2,3,2,1,1,2,1,2,1,2,98,2, ,2,2,1, , ,1,3,2,2,81,8,2,1,6,3,1,3,1,3, , , ,62265,1,.306416064650422
100298,1,1,21414,1,48,3,4,U,1, ,2,1,3,4,3,1,2,8,1,1,2,2,98,2, ,2,6,1, , ,2,3,2,1,76,1,2,1,99,3,1,3,1,2, , , ,78727,2.76666666666667,.847751112199502
100301,1,2,21414,1,9,1,3,S, ,1,4,4,4,4,4,2,8,2,2,2,2,2,2,11,2, ,4,1, , ,1,1,2,2,37,2,2,1,1,1,1,3,1,4, , ,WICCAN,06066,5.53333333333333,1.695502224399
100302,1,1,21414,1,54,3,1,R,2, ,3,3,3,4,2,3,3,2,3,2,2,2,97,1, ,1,1,1, , ,3,2,2,2,49,4,2,1,5,2,1,2, ,4, , , ,25234,4.4,1.34823068446186
100303,1,1,21414,1,47,3,1,R,8, ,2,2,8,3,2,2,2,2,8,2,2,2,98,1, ,1,1,1, , ,1,3,2,2,82,4,1,1,4,2,1,1, ,2, , , ,38320,1,.306416064650422
